City,Country,Date,Cloudiness,Humidity,Lat,Lng,Max Temp,Wind Speed
Tulum,MX,1554040818,20,88,20.21,-87.46,78.01,4.74
Cape Town,ZA,1554040690,20,43,-33.93,18.42,71.6,10.29
Airai,TL,1554040885,0,86,-8.93,125.41,67.05,1.61
Medowie,AU,1554040580,90,67,-32.73,151.85,62.01,6.93
Portland,US,1554040385,1,81,45.52,-122.67,45.0,2.17
Sao Filipe,CV,1554040886,0,91,14.9,-24.5,72.27,18.72
Busselton,AU,1554040856,64,28,-33.64,115.35,71.01,7.43
Saint-Philippe,CA,1554040879,90,93,45.36,-73.48,36.0,14.99
Zharkent,KZ,1554040887,0,80,44.17,80.0,32.85,2.17
Nizhniy Kuranakh,RU,1554040888,88,78,58.84,125.49,16.02,2.39
Mataura,NZ,1554040808,0,67,-46.19,168.86,66.99,10.0
Saldanha,PT,1554040888,92,31,41.42,-6.55,64.98,5.41
Punta Arenas,CL,1554040346,40,71,-53.16,-70.91,51.8,5.82
Hobart,AU,1554040574,75,53,-42.88,147.33,51.8,10.29
San Patricio,PY,1554040889,76,68,-26.98,-56.83,84.96,3.4
Yellowknife,CA,1554040609,90,68,62.45,-114.38,26.01,8.05
Arraial do Cabo,BR,1554037200,20,65,-22.97,-42.02,82.4,3.36
Clyde River,CA,1554037200,75,91,70.47,-68.59,1.4,3.36
Helong,CN,1554040891,92,99,25.94,116.13,58.5,3.06
Husavik,CA,1554040833,8,83,50.56,-96.99,27.0,4.29
Jinchang,CN,1554040891,0,49,38.52,102.19,25.38,3.62
Bosaso,SO,1554037200,0,83,11.28,49.18,82.4,17.22
Kapaa,US,1554040696,1,82,22.08,-159.32,66.2,6.93
Lorengau,PG,1554040892,92,100,-2.02,147.27,81.9,9.89
Rikitea,PF,1554040892,36,100,-23.12,-134.97,76.68,19.84
Turan,RU,1554040893,0,75,52.15,93.92,22.59,2.06
Mercedes,UY,1554040800,44,81,-33.25,-58.03,80.55,5.64
Sinnamary,GF,1554040894,80,89,5.38,-52.96,81.72,9.66
Saskylakh,RU,1554040894,0,74,71.97,114.09,18.45,11.68
Manali,IN,1554040894,12,83,32.25,77.19,2.61,1.05
Batemans Bay,AU,1554040855,12,87,-35.71,150.18,59.0,7.09
Berlevag,NO,1554040895,88,100,70.86,29.09,30.6,21.07
Itarema,BR,1554040895,68,99,-2.92,-39.92,83.97,4.97
Komsomolskiy,RU,1554040896,80,89,67.55,63.78,27.18,17.83
Sao Joao da Barra,BR,1554037200,0,57,-21.64,-41.05,80.6,3.36
Kalmar,SE,1554040804,0,45,56.66,16.36,48.0,16.11
Koundara,GN,1554040897,0,26,12.49,-13.3,101.61,13.35
Cabanas,ES,1554040883,20,67,43.42,-8.16,64.0,8.05
Albany,US,1554040695,90,62,42.65,-73.75,63.0,19.46
Waingapu,ID,1554040898,48,100,-9.65,120.26,74.43,2.62
Caninde de Sao Francisco,BR,1554040864,80,97,-9.66,-37.79,79.92,5.41
